<<<<<<< HEAD
var1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 1
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 2
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
Grupo 3
=======
"","var1"
"1","Grupo 1"
"2","Grupo 1"
"3","Grupo 1"
"4","Grupo 1"
"5","Grupo 1"
"6","Grupo 1"
"7","Grupo 1"
"8","Grupo 1"
"9","Grupo 1"
"10","Grupo 1"
"11","Grupo 1"
"12","Grupo 1"
"13","Grupo 1"
"14","Grupo 1"
"15","Grupo 1"
"16","Grupo 1"
"17","Grupo 1"
"18","Grupo 1"
"19","Grupo 1"
"20","Grupo 1"
"21","Grupo 1"
"22","Grupo 1"
"23","Grupo 1"
"24","Grupo 1"
"25","Grupo 1"
"26","Grupo 2"
"27","Grupo 2"
"28","Grupo 2"
"29","Grupo 2"
"30","Grupo 2"
"31","Grupo 2"
"32","Grupo 2"
"33","Grupo 2"
"34","Grupo 2"
"35","Grupo 2"
"36","Grupo 2"
"37","Grupo 2"
"38","Grupo 2"
"39","Grupo 2"
"40","Grupo 2"
"41","Grupo 2"
"42","Grupo 2"
"43","Grupo 2"
"44","Grupo 2"
"45","Grupo 2"
"46","Grupo 2"
"47","Grupo 2"
"48","Grupo 2"
"49","Grupo 2"
"50","Grupo 2"
"51","Grupo 2"
"52","Grupo 2"
"53","Grupo 2"
"54","Grupo 2"
"55","Grupo 2"
"56","Grupo 3"
"57","Grupo 3"
"58","Grupo 3"
"59","Grupo 3"
"60","Grupo 3"
"61","Grupo 3"
"62","Grupo 3"
"63","Grupo 3"
"64","Grupo 3"
"65","Grupo 3"
"66","Grupo 3"
"67","Grupo 3"
"68","Grupo 3"
"69","Grupo 3"
"70","Grupo 3"
"71","Grupo 3"
"72","Grupo 3"
"73","Grupo 3"
"74","Grupo 3"
"75","Grupo 3"
"76","Grupo 3"
"77","Grupo 3"
"78","Grupo 3"
"79","Grupo 3"
"80","Grupo 3"
"81","Grupo 3"
"82","Grupo 3"
"83","Grupo 3"
"84","Grupo 3"
"85","Grupo 3"
"86","Grupo 3"
"87","Grupo 3"
"88","Grupo 3"
"89","Grupo 3"
"90","Grupo 3"
"91","Grupo 3"
"92","Grupo 3"
"93","Grupo 3"
"94","Grupo 3"
"95","Grupo 3"
"96","Grupo 3"
"97","Grupo 3"
"98","Grupo 3"
"99","Grupo 3"
"100","Grupo 3"
"101","Grupo 3"
"102","Grupo 3"
"103","Grupo 3"
>>>>>>> 78ad739ba68ebfdde1c249fe912b2954e83f44fe
