<<<<<<< HEAD
var1,var2
1990,1994.0149431727436
1991,1992.0072515113113
1992,1994.5727207127945
1993,1996.1166372835828
1994,1996.106792429945
1995,1998.3339029424992
1996,1999.4114299206158
1997,1999.966963840724
1998,1998.53410180624
1999,2004.5714581458667
2000,2002.7947007425319
2001,2004.6511932815877
2002,2005.2737664910364
2003,2007.0246732348182
2004,2007.8176594463741
2005,2007.7902068287715
2006,2009.3781677722086
2007,2009.0545911688762
2008,2011.8569230108992
2009,2011.5389616611155
2010,2015.4167733537881
2011,2012.3489511043117
2012,2014.536012757034
2013,2016.8253798627593
2014,2017.5101325468786
2015,2017.410518961485
2016,2018.0032192577926
2017,2020.1444757047107
2018,2020.985692586833
=======
"","var1","var2"
"1",1990,1994.01494317274
"2",1991,1992.00725151131
"3",1992,1994.57272071279
"4",1993,1996.11663728358
"5",1994,1996.10679242995
"6",1995,1998.3339029425
"7",1996,1999.41142992062
"8",1997,1999.96696384072
"9",1998,1998.53410180624
"10",1999,2004.57145814587
"11",2000,2002.79470074253
"12",2001,2004.65119328159
"13",2002,2005.27376649104
"14",2003,2007.02467323482
"15",2004,2007.81765944637
"16",2005,2007.79020682877
"17",2006,2009.37816777221
"18",2007,2009.05459116888
"19",2008,2011.8569230109
"20",2009,2011.53896166112
"21",2010,2015.41677335379
"22",2011,2012.34895110431
"23",2012,2014.53601275703
"24",2013,2016.82537986276
"25",2014,2017.51013254688
"26",2015,2017.41051896148
"27",2016,2018.00321925779
"28",2017,2020.14447570471
"29",2018,2020.98569258683
>>>>>>> 78ad739ba68ebfdde1c249fe912b2954e83f44fe
